283,278,334,286,266,261,277,265,313,313,461,318,11.53,11.98,40.23,12.59,47.05882,46.65630,43.50979,45.76659,5.79,5.74,5.35,5.41,5.97,5.92,5.52,5.81,126.0,126.0,126.0,121.0
286,283,283,284,267,264,261,263,315,320,322,319,12.54,13.98,15.58,13.64,46.26060,46.91165,46.91165,46.69261,5.69,5.77,5.77,5.52,5.87,5.96,5.96,5.93,126.0,126.0,126.0,121.0
283,283,283,284,263,262,260,265,321,315,317,310,12.94,14.88,14.31,12.55,47.39336,46.80187,46.04758,46.72897,5.83,5.76,5.67,5.52,6.02,5.94,5.85,5.93,126.0,126.0,126.0,121.0
287,295,290,295,267,264,261,268,323,339,334,345,13.34,21.12,18.52,19.97,46.72897,44.77612,46.62005,46.54771,5.75,5.51,5.74,5.50,5.93,5.68,5.92,5.91,126.0,126.0,126.0,121.0
283,283,276,286,263,261,259,267,320,316,311,322,13.04,13.76,13.36,12.31,46.94836,46.51163,45.66210,46.04758,5.78,5.72,5.62,5.44,5.96,5.90,5.80,5.85,126.0,126.0,126.0,121.0
287,280,318,286,268,258,262,265,324,331,662,314,12.95,15.65,102.39,12.98,45.94181,47.13276,37.75960,46.40371,5.65,5.80,4.65,5.48,5.79,5.94,4.76,5.85,126.0,126.0,126.0,121.0
282,280,321,285,261,261,261,269,319,315,432,309,14.96,12.28,37.60,12.43,46.62005,47.46835,45.83652,46.62005,5.74,5.84,5.64,5.51,5.87,5.98,5.77,5.87,126.0,126.0,126.0,121.0
283,286,297,335,259,263,264,270,320,321,367,438,14.56,14.60,28.13,36.77,46.29630,47.02194,46.08295,45.97701,5.70,5.79,5.67,5.43,5.83,5.92,5.81,5.79,126.0,126.0,126.0,121.0
283,282,276,289,262,264,257,264,315,317,304,320,12.08,12.30,11.49,14.96,46.29630,46.40371,47.09576,45.90666,5.70,5.71,5.79,5.42,5.83,5.85,5.93,5.78,126.0,126.0,126.0,121.0
493,284,283,330,387,262,261,265,605,320,334,402,59.44,12.84,16.08,36.15,39.08795,45.35147,45.90666,46.29630,4.81,5.58,5.65,5.47,4.92,5.71,5.78,5.83,126.0,126.0,126.0,121.0
285,281,280,298,267,259,261,266,319,315,320,378,13.25,13.39,13.14,26.32,47.02194,47.20692,47.02194,44.54343,5.79,5.81,5.79,5.26,6.93,6.95,6.93,6.56,126.0,126.0,126.0,121.0
284,282,282,290,262,259,263,270,325,316,317,318,14.72,14.16,12.57,12.28,45.76659,46.04758,47.05882,46.72897,5.63,5.67,5.79,5.52,6.74,6.78,6.93,6.88,126.0,126.0,126.0,121.0
285,279,315,286,262,261,261,269,323,304,524,333,14.67,11.57,66.49,12.95,46.47560,46.08295,46.83841,44.91018,5.72,5.67,5.76,5.31,6.85,6.79,6.90,6.62,126.0,126.0,126.0,121.0
283,280,277,330,265,262,258,270,315,305,321,392,12.95,12.21,13.38,33.26,46.65630,47.13276,46.51163,44.11765,5.74,5.80,5.72,5.21,6.87,6.94,6.85,6.50,126.0,126.0,126.0,121.0
283,282,282,291,264,263,262,267,328,318,316,327,14.69,14.43,14.10,15.26,46.54771,45.97701,46.94836,45.83652,5.73,5.66,5.78,5.42,6.86,6.77,6.92,6.75,126.0,126.0,126.0,121.0
283,284,299,313,260,262,259,269,309,314,1397,461,13.64,13.44,143.45,53.11,45.94181,46.11837,25.34854,46.91165,11.93,12.03,6.58,11.96,5.65,5.67,3.12,5.77,266.0,267.0,266.0,261.0
282,296,279,332,261,260,258,265,325,436,320,412,15.12,48.67,14.93,34.55,46.69261,46.40371,46.04758,44.80956,12.13,12.10,11.96,11.42,5.75,5.71,5.67,5.51,266.0,267.0,266.0,261.0
277,279,282,306,259,262,260,269,329,308,314,458,13.42,13.28,13.40,47.94,47.28132,45.83652,46.40371,44.15011,12.28,11.95,12.05,11.25,5.82,5.64,5.71,5.43,266.0,267.0,266.0,261.0
306,277,356,288,263,258,281,266,447,303,467,315,53.89,12.88,49.43,13.86,47.39336,46.83841,41.89944,45.69688,12.31,12.21,10.88,11.65,5.83,5.76,5.16,5.62,266.0,267.0,266.0,261.0
278,298,278,296,260,260,258,265,310,431,316,420,11.64,47.08,13.68,40.04,46.51163,46.83841,45.48901,46.87500,12.08,12.21,11.82,11.95,5.72,5.76,5.60,5.77,266.0,267.0,266.0,261.0
289,285,287,301,269,265,267,265,329,320,321,432,14.78,13.74,13.82,36.25,47.16981,46.62005,46.91165,46.33205,300.94,291.97,354.27,252.20,5.85,5.78,5.82,5.75,6533.0,6413.0,7733.0,5574.0
289,308,283,301,269,266,261,273,325,451,325,408,13.89,55.31,14.78,23.44,46.26060,45.48901,46.26060,44.67610,295.14,284.88,349.35,243.19,5.74,5.64,5.74,5.54,6533.0,6413.0,7733.0,5574.0
292,281,294,285,271,264,269,266,331,311,343,315,15.21,11.08,16.31,13.75,45.73171,46.80187,46.40371,46.94836,291.76,293.11,350.43,255.56,5.67,5.80,5.76,5.82,6533.0,6413.0,7733.0,5574.0
314,283,302,288,271,265,264,271,476,319,458,316,56.88,13.06,51.06,13.17,46.80187,47.31861,46.08295,46.36785,298.59,296.34,348.01,252.40,5.80,5.87,5.72,5.75,6533.0,6413.0,7733.0,5574.0
314,305,284,307,270,264,264,269,474,450,321,446,42.38,55.97,15.16,45.04,43.60465,45.04505,46.01227,45.45455,278.19,282.10,347.47,247.43,5.41,5.59,5.71,5.64,6533.0,6413.0,7733.0,5574.0
332,285,284,283,276,263,263,265,396,321,317,319,24.82,14.88,14.03,13.37,45.42014,46.91165,46.47560,46.91165,295.90,308.41,302.77,283.30,5.46,5.63,5.58,5.63,6671.0,6732.0,6671.0,6184.0
