Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Retrieve All,250,437,82,1197,259.69,0.000%,16.42360,5234.25,2.00,326352.0
TOTAL,250,437,82,1197,259.69,0.000%,16.42360,5234.25,2.00,326352.0
