Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Retrieve All,250,1947,555,3673,788.09,0.000%,8.83736,2816.49,1.08,326352.0
TOTAL,250,1947,555,3673,788.09,0.000%,8.83736,2816.49,1.08,326352.0
