Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Retrieve All,250,1780,590,2820,637.67,0.000%,8.56135,2728.53,1.05,326352.0
TOTAL,250,1780,590,2820,637.67,0.000%,8.56135,2728.53,1.05,326352.0
