Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Retrieve All,250,2702,590,7146,1615.81,0.000%,6.10665,1946.21,0.75,326352.0
TOTAL,250,2702,590,7146,1615.81,0.000%,6.10665,1946.21,0.75,326352.0
