Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Retrieve All,250,2528,567,6820,1521.60,0.000%,5.31451,1693.75,0.65,326352.0
TOTAL,250,2528,567,6820,1521.60,0.000%,5.31451,1693.75,0.65,326352.0
