Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Retrieve All,250,1041,84,3644,884.40,0.000%,9.02880,2904.02,1.10,329359.0
TOTAL,250,1041,84,3644,884.40,0.000%,9.02880,2904.02,1.10,329359.0
