Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Retrieve All,250,1187,90,4191,1114.80,0.000%,10.80707,3444.25,1.32,326352.0
TOTAL,250,1187,90,4191,1114.80,0.000%,10.80707,3444.25,1.32,326352.0
