Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Retrieve All,60,5257,1795,8445,2189.48,0.000%,6.57030,2094.14,0.79,326377.0
TOTAL,60,5257,1795,8445,2189.48,0.000%,6.57030,2094.14,0.79,326377.0
