Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Retrieve All,60,5218,1562,8514,2241.99,0.000%,6.69269,2133.15,0.80,326377.0
TOTAL,60,5218,1562,8514,2241.99,0.000%,6.69269,2133.15,0.80,326377.0
