Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,60,283,261,316,13.76,0.000%,46.51163,5.72,5.90,126.0
Insert UUID Generated,60,284,262,320,12.84,0.000%,45.35147,5.58,5.71,126.0
Insert Ungenerated,60,282,263,318,14.43,0.000%,45.97701,5.66,6.77,126.0
Retrieve One,60,298,260,431,47.08,0.000%,46.83841,12.21,5.76,267.0
Retrieve Filtered,60,305,264,450,55.97,0.000%,45.04505,282.10,5.59,6413.0
Retrieve All,60,308,269,441,51.33,0.000%,46.36785,304.83,5.57,6732.0
