Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,60,278,261,313,11.98,0.000%,46.65630,5.74,5.92,126.0
Insert UUID Generated,60,280,258,331,15.65,0.000%,47.13276,5.80,5.94,126.0
Insert Ungenerated,60,281,259,315,13.39,0.000%,47.20692,5.81,6.95,126.0
Retrieve One,60,284,262,314,13.44,0.000%,46.11837,12.03,5.67,267.0
Retrieve Filtered,60,285,265,320,13.74,0.000%,46.62005,291.97,5.78,6413.0
Retrieve All,60,285,263,321,14.88,0.000%,46.91165,308.41,5.63,6732.0
