Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,60,295,268,345,19.97,0.000%,46.54771,5.50,5.91,121.0
Insert UUID Generated,60,289,264,320,14.96,0.000%,45.90666,5.42,5.78,121.0
Insert Ungenerated,60,330,270,392,33.26,0.000%,44.11765,5.21,6.50,121.0
Retrieve One,60,288,266,315,13.86,0.000%,45.69688,11.65,5.62,261.0
Retrieve Filtered,60,288,271,316,13.17,0.000%,46.36785,252.40,5.75,5574.0
Retrieve All,60,285,269,314,12.80,0.000%,46.65630,281.76,5.60,6184.0
