Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,60,284,263,319,13.64,0.000%,46.69261,5.52,5.93,121.0
Insert UUID Generated,60,285,269,309,12.43,0.000%,46.62005,5.51,5.87,121.0
Insert Ungenerated,60,290,270,318,12.28,0.000%,46.72897,5.52,6.88,121.0
Retrieve One,60,332,265,412,34.55,0.000%,44.80956,11.42,5.51,261.0
Retrieve Filtered,60,301,273,408,23.44,0.000%,44.67610,243.19,5.54,5574.0
Retrieve All,60,300,267,404,38.99,0.000%,46.54771,281.10,5.59,6184.0
