Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,60,286,267,322,12.31,0.000%,46.04758,5.44,5.85,121.0
Insert UUID Generated,60,330,265,402,36.15,0.000%,46.29630,5.47,5.83,121.0
Insert Ungenerated,60,291,267,327,15.26,0.000%,45.83652,5.42,6.75,121.0
Retrieve One,60,296,265,420,40.04,0.000%,46.87500,11.95,5.77,261.0
Retrieve Filtered,60,307,269,446,45.04,0.000%,45.45455,247.43,5.64,5574.0
Retrieve All,60,286,268,328,12.37,0.000%,47.13276,284.64,5.66,6184.0
