Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Retrieve All,60,5828,1974,9399,2473.69,0.000%,5.95593,1898.32,0.72,326377.0
TOTAL,60,5828,1974,9399,2473.69,0.000%,5.95593,1898.32,0.72,326377.0
