Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Retrieve All,60,8308,2991,12402,3042.51,0.000%,4.51331,1438.52,0.54,326377.0
TOTAL,60,8308,2991,12402,3042.51,0.000%,4.51331,1438.52,0.54,326377.0
