Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Retrieve All,60,6056,2000,9750,2596.90,0.000%,5.75540,1834.40,0.69,326377.0
TOTAL,60,6056,2000,9750,2596.90,0.000%,5.75540,1834.40,0.69,326377.0
