Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Retrieve All,60,6565,1772,10204,2699.90,0.000%,5.53506,1764.17,0.66,326377.0
TOTAL,60,6565,1772,10204,2699.90,0.000%,5.53506,1764.17,0.66,326377.0
