Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,60,283,263,321,12.94,0.000%,47.39336,5.83,6.02,126.0
Insert UUID Generated,60,283,259,320,14.56,0.000%,46.29630,5.70,5.83,126.0
Insert Ungenerated,60,285,262,323,14.67,0.000%,46.47560,5.72,6.85,126.0
Retrieve One,60,277,259,329,13.42,0.000%,47.28132,12.28,5.82,266.0
Retrieve Filtered,60,292,271,331,15.21,0.000%,45.73171,291.76,5.67,6533.0
Retrieve All,60,304,279,350,18.54,0.000%,46.11837,300.44,5.54,6671.0
