Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,60,286,267,315,12.54,0.000%,46.26060,5.69,5.87,126.0
Insert UUID Generated,60,282,261,319,14.96,0.000%,46.62005,5.74,5.87,126.0
Insert Ungenerated,60,284,262,325,14.72,0.000%,45.76659,5.63,6.74,126.0
Retrieve One,60,282,261,325,15.12,0.000%,46.69261,12.13,5.75,266.0
Retrieve Filtered,60,289,269,325,13.89,0.000%,46.26060,295.14,5.74,6533.0
Retrieve All,60,315,275,363,18.11,0.000%,45.55809,296.79,5.47,6671.0
