Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,60,283,263,320,13.04,0.000%,46.94836,5.78,5.96,126.0
Insert UUID Generated,60,493,387,605,59.44,0.000%,39.08795,4.81,4.92,126.0
Insert Ungenerated,60,283,264,328,14.69,0.000%,46.54771,5.73,6.86,126.0
Retrieve One,60,278,260,310,11.64,0.000%,46.51163,12.08,5.72,266.0
Retrieve Filtered,60,314,270,474,42.38,0.000%,43.60465,278.19,5.41,6533.0
Retrieve All,60,310,279,372,21.15,0.000%,46.08295,300.21,5.54,6671.0
