Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,60,287,267,323,13.34,0.000%,46.72897,5.75,5.93,126.0
Insert UUID Generated,60,283,262,315,12.08,0.000%,46.29630,5.70,5.83,126.0
Insert Ungenerated,60,283,265,315,12.95,0.000%,46.65630,5.74,6.87,126.0
Retrieve One,60,306,263,447,53.89,0.000%,47.39336,12.31,5.83,266.0
Retrieve Filtered,60,314,271,476,56.88,0.000%,46.80187,298.59,5.80,6533.0
Retrieve All,60,310,272,462,45.91,0.000%,45.52352,296.57,5.47,6671.0
