Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,100,17,5,86,22.19,0.000%,113.89522,14.01,14.46,126.0
Insert BAL UUID,100,6,5,13,1.42,0.000%,100.30090,12.34,12.64,126.0
Insert Ungenerated,100,6,5,16,1.68,0.000%,100.60362,12.38,14.83,126.0
Retrieve One,100,4,4,11,1.16,0.000%,100.30090,26.05,12.34,266.0
Retrieve Filtered,100,20,11,45,8.08,0.000%,99.00990,1035.16,12.28,10706.0
Retrieve All,100,554,32,1153,296.25,0.000%,55.06608,590.40,6.61,10979.0
TOTAL,600,101,4,1153,236.11,0.000%,10.58164,38.46,1.35,3721.5
