Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,100,18,5,89,25.23,0.000%,113.89522,14.01,14.46,126.0
Insert BAL UUID,100,6,5,16,1.93,0.000%,100.50251,12.37,12.66,126.0
Insert Ungenerated,100,6,5,15,1.34,0.000%,100.50251,12.37,14.81,126.0
Retrieve One,100,4,4,9,0.90,0.000%,100.70493,26.16,12.39,266.0
Retrieve Filtered,100,33,15,74,10.83,0.000%,99.60159,1041.34,12.35,10706.0
Retrieve All,100,610,32,1223,330.03,0.000%,52.21932,559.88,6.27,10979.0
TOTAL,600,113,4,1223,260.31,0.000%,10.56505,38.40,1.35,3721.5
