Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,100,16,5,81,21.68,0.000%,111.98208,13.78,14.22,126.0
Insert BAL UUID,100,6,5,11,1.22,0.000%,100.50251,12.37,12.66,126.0
Insert Ungenerated,100,6,5,16,1.98,0.000%,100.50251,12.37,14.81,126.0
Retrieve One,100,4,4,9,0.88,0.000%,100.60362,26.13,12.38,266.0
Retrieve Filtered,100,114,14,444,112.14,0.000%,81.49959,852.08,10.11,10706.0
Retrieve All,100,691,44,1431,352.18,0.000%,50.55612,542.05,6.07,10979.0
TOTAL,600,139,4,1431,291.90,0.000%,10.50935,38.19,1.34,3721.5
