Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,100,225,5,524,175.40,0.000%,91.40768,11.25,11.60,126.0
Insert BAL UUID,100,7,5,15,2.16,0.000%,100.40161,12.35,12.65,126.0
Insert Ungenerated,100,6,5,14,1.30,0.000%,100.40161,12.35,14.80,126.0
Retrieve One,100,4,4,12,1.25,0.000%,100.60362,26.13,12.38,266.0
Retrieve Filtered,100,48,15,147,27.06,0.000%,96.06148,1004.33,11.91,10706.0
Retrieve All,100,622,35,1377,369.97,0.000%,47.70992,511.53,5.73,10979.0
TOTAL,600,152,4,1377,279.74,0.000%,10.48456,38.10,1.34,3721.5
