Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,100,12,3,63,18.64,0.000%,114.54754,14.09,14.54,126.0
Insert BAL UUID,100,4,4,13,1.28,0.000%,100.60362,12.38,12.67,126.0
Insert Ungenerated,100,4,3,9,1.21,0.000%,100.60362,12.38,14.83,126.0
Retrieve One,100,10,3,81,16.61,0.000%,100.70493,26.26,12.39,267.0
Retrieve Filtered,100,12,5,217,35.90,0.000%,100.50251,1031.33,12.46,10508.0
Retrieve All,100,11,7,32,6.03,0.000%,100.10010,1083.11,12.02,11080.0
TOTAL,600,9,3,217,18.36,0.000%,10.74172,38.87,1.37,3705.5
