Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,100,16,3,86,26.96,0.000%,113.63636,13.98,14.43,126.0
Insert BAL UUID,100,4,3,13,1.68,0.000%,100.60362,12.38,12.67,126.0
Insert Ungenerated,100,5,3,15,2.19,0.000%,100.60362,12.38,14.83,126.0
Retrieve One,100,3,3,11,0.98,0.000%,100.70493,26.26,12.39,267.0
Retrieve Filtered,100,6,5,17,1.81,0.000%,100.40161,1030.29,12.45,10508.0
Retrieve All,100,12,7,34,6.68,0.000%,99.80040,1079.87,11.99,11080.0
TOTAL,600,8,3,86,12.42,0.000%,10.73960,38.86,1.37,3705.5
