Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,100,11,3,70,15.88,0.000%,112.48594,13.84,14.28,126.0
Insert BAL UUID,100,4,3,16,1.94,0.000%,99.40358,12.23,12.52,126.0
Insert Ungenerated,100,4,4,11,1.42,0.000%,100.60362,12.38,14.83,126.0
Retrieve One,100,3,3,13,1.46,0.000%,100.70493,26.26,12.39,267.0
Retrieve Filtered,100,6,5,14,1.22,0.000%,100.30090,1029.26,12.44,10508.0
Retrieve All,100,21,7,72,15.08,0.000%,99.20635,1073.44,11.92,11080.0
TOTAL,600,8,3,72,10.87,0.000%,10.73403,38.84,1.37,3705.5
