Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,100,12,3,63,17.59,0.000%,112.86682,13.89,14.33,126.0
Insert BAL UUID,100,4,3,14,1.59,0.000%,100.70493,12.39,12.69,126.0
Insert Ungenerated,100,4,3,11,1.32,0.000%,100.70493,12.39,14.84,126.0
Retrieve One,100,3,2,15,1.63,0.000%,100.70493,26.26,12.39,267.0
Retrieve Filtered,100,6,5,17,1.93,0.000%,100.40161,1030.29,12.45,10508.0
Retrieve All,100,90,7,416,78.92,0.000%,94.60738,1023.68,11.36,11080.0
TOTAL,600,20,2,416,45.64,0.000%,10.72827,38.82,1.37,3705.5
