Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Retrieve All,60,16827,4631,27962,7744.20,0.000%,2.13812,681.48,0.26,326377.0
TOTAL,60,16827,4631,27962,7744.20,0.000%,2.13812,681.48,0.26,326377.0
