Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Retrieve All,60,16652,3834,27492,8086.20,0.000%,2.16599,690.36,0.26,326377.0
TOTAL,60,16652,3834,27492,8086.20,0.000%,2.16599,690.36,0.26,326377.0
