Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,60,283,260,317,14.31,0.000%,46.04758,5.67,5.85,126.0
Insert UUID Generated,60,297,264,367,28.13,0.000%,46.08295,5.67,5.81,126.0
Insert Ungenerated,60,315,261,524,66.49,0.000%,46.83841,5.76,6.90,126.0
Retrieve One,60,282,260,314,13.40,0.000%,46.40371,12.05,5.71,266.0
Retrieve Filtered,60,294,269,343,16.31,0.000%,46.40371,350.43,5.76,7733.0
Retrieve All,60,289,271,320,13.17,0.000%,46.11837,300.44,5.54,6671.0
