Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,60,283,261,322,15.58,0.000%,46.91165,5.77,5.96,126.0
Insert UUID Generated,60,321,261,432,37.60,0.000%,45.83652,5.64,5.77,126.0
Insert Ungenerated,60,282,263,317,12.57,0.000%,47.05882,5.79,6.93,126.0
Retrieve One,60,279,258,320,14.93,0.000%,46.04758,11.96,5.67,266.0
Retrieve Filtered,60,283,261,325,14.78,0.000%,46.26060,349.35,5.74,7733.0
Retrieve All,60,286,264,315,13.57,0.000%,46.26060,301.37,5.56,6671.0
