Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,60,334,277,461,40.23,0.000%,43.50979,5.35,5.52,126.0
Insert UUID Generated,60,318,262,662,102.39,0.000%,37.75960,4.65,4.76,126.0
Insert Ungenerated,60,280,261,320,13.14,0.000%,47.02194,5.79,6.93,126.0
Retrieve One,60,299,259,1397,143.45,0.000%,25.34854,6.58,3.12,266.0
Retrieve Filtered,60,287,267,321,13.82,0.000%,46.91165,354.27,5.82,7733.0
Retrieve All,60,284,263,317,14.03,0.000%,46.47560,302.77,5.58,6671.0
