Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Retrieve All,300,5255,751,8589,2229.48,0.000%,1.91554,610.53,0.23,326377.0
TOTAL,300,5255,751,8589,2229.48,0.000%,1.91554,610.53,0.23,326377.0
