Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Retrieve All,300,6615,1772,12402,2830.15,0.000%,1.90966,608.66,0.23,326377.0
TOTAL,300,6615,1772,12402,2830.15,0.000%,1.90966,608.66,0.23,326377.0
