Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Retrieve All,300,16693,1914,28279,8083.67,0.000%,1.00141,319.18,0.12,326377.0
TOTAL,300,16693,1914,28279,8083.67,0.000%,1.00141,319.18,0.12,326377.0
