Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,100,23,5,117,35.11,0.000%,113.63636,13.98,14.43,126.0
Insert BAL UUID,100,6,5,14,1.74,0.000%,100.30090,12.34,12.64,126.0
Insert Ungenerated,100,7,5,34,4.83,0.000%,100.40161,12.35,14.80,126.0
Retrieve One,100,4,3,15,1.90,0.000%,100.70493,26.16,12.39,266.0
Retrieve Filtered,100,332,17,780,202.36,0.000%,71.32668,745.73,8.85,10706.0
Retrieve All,100,24,8,78,16.76,0.000%,99.60159,1067.90,11.96,10979.0
TOTAL,600,66,3,780,145.88,0.000%,10.66022,38.74,1.36,3721.5
