Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,100,118,5,422,121.17,0.000%,113.37868,13.95,14.39,126.0
Insert BAL UUID,100,6,5,17,1.77,0.000%,100.50251,12.37,12.66,126.0
Insert Ungenerated,100,6,5,16,1.62,0.000%,100.40161,12.35,14.80,126.0
Retrieve One,100,4,3,11,1.10,0.000%,100.60362,26.13,12.38,266.0
Retrieve Filtered,100,200,15,362,105.37,0.000%,81.63265,853.48,10.12,10706.0
Retrieve All,100,52,9,137,36.03,0.000%,100.10010,1073.24,12.02,10979.0
TOTAL,600,64,3,422,99.04,0.000%,10.69519,38.87,1.37,3721.5
