Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,100,30,5,151,43.14,0.000%,112.35955,13.83,14.26,126.0
Insert BAL UUID,100,7,5,14,1.77,0.000%,100.30090,12.34,12.64,126.0
Insert Ungenerated,100,6,5,19,1.64,0.000%,100.40161,12.35,14.80,126.0
Retrieve One,100,5,4,16,1.61,0.000%,100.60362,26.13,12.38,266.0
Retrieve Filtered,100,567,54,1205,330.74,0.000%,57.04507,596.41,7.07,10706.0
Retrieve All,100,122,10,287,68.46,0.000%,89.12656,955.59,10.71,10979.0
TOTAL,600,123,4,1205,245.88,0.000%,10.57045,38.42,1.35,3721.5
