Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,100,18,5,112,24.25,0.000%,114.67890,14.11,14.56,126.0
Insert BAL UUID,100,6,5,17,2.25,0.000%,100.40161,12.35,12.65,126.0
Insert Ungenerated,100,6,5,14,1.48,0.000%,100.60362,12.38,14.83,126.0
Retrieve One,100,4,4,10,1.14,0.000%,100.60362,26.13,12.38,266.0
Retrieve Filtered,100,407,20,935,232.10,0.000%,65.57377,685.58,8.13,10706.0
Retrieve All,100,93,9,240,56.62,0.000%,89.92806,964.18,10.80,10979.0
TOTAL,600,89,4,935,175.62,0.000%,10.61909,38.59,1.36,3721.5
