Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,100,19,5,97,28.00,0.000%,114.41648,14.08,14.53,126.0
Insert BAL UUID,100,6,5,15,1.56,0.000%,100.30090,12.34,12.64,126.0
Insert Ungenerated,100,6,5,15,1.82,0.000%,100.60362,12.38,14.83,126.0
Retrieve One,100,4,3,11,1.16,0.000%,100.60362,26.13,12.38,266.0
Retrieve Filtered,100,165,16,448,134.91,0.000%,76.74597,802.39,9.52,10706.0
Retrieve All,100,62,8,195,42.31,0.000%,95.05703,1019.17,11.42,10979.0
TOTAL,600,44,3,448,82.44,0.000%,10.67179,38.78,1.37,3721.5
