Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,100,13,4,68,16.72,0.000%,113.25028,13.38,14.38,121.0
Insert BAL UUID,100,5,4,16,1.95,0.000%,99.70090,11.78,12.56,121.0
Insert Ungenerated,100,7,6,16,1.87,0.000%,100.40161,11.86,14.80,121.0
Retrieve One,100,4,3,12,1.73,0.000%,100.60362,25.64,12.38,261.0
Retrieve Filtered,100,6,5,16,2.10,0.000%,100.40161,891.95,12.45,9097.0
Retrieve All,100,6,4,31,3.51,0.000%,100.30090,993.80,12.05,10146.0
TOTAL,600,7,3,68,7.72,0.000%,10.73749,34.72,1.37,3311.2
