Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,100,13,4,67,17.65,0.000%,113.63636,13.43,14.43,121.0
Insert BAL UUID,100,12,4,96,19.13,0.000%,99.90010,11.80,12.59,121.0
Insert Ungenerated,100,7,6,19,2.45,0.000%,100.20040,11.84,14.77,121.0
Retrieve One,100,4,3,10,1.05,0.000%,100.70493,25.67,12.39,261.0
Retrieve Filtered,100,8,5,17,2.90,0.000%,100.40161,891.95,12.45,9097.0
Retrieve All,100,7,4,47,7.32,0.000%,100.50251,995.80,12.07,10146.0
TOTAL,600,9,3,96,11.61,0.000%,10.73864,34.72,1.37,3311.2
