Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,100,18,4,92,25.01,0.000%,113.37868,13.40,14.39,121.0
Insert BAL UUID,100,6,4,17,2.90,0.000%,100.10010,11.83,12.61,121.0
Insert Ungenerated,100,7,6,17,2.04,0.000%,100.50251,11.88,14.81,121.0
Retrieve One,100,4,3,14,1.40,0.000%,100.60362,25.64,12.38,261.0
Retrieve Filtered,100,6,5,23,2.73,0.000%,100.50251,892.84,12.46,9097.0
Retrieve All,100,6,4,17,2.36,0.000%,100.30090,993.80,12.05,10146.0
TOTAL,600,8,3,92,11.38,0.000%,10.73826,34.72,1.37,3311.2
