Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,100,14,4,80,19.18,0.000%,112.10762,13.25,14.23,121.0
Insert BAL UUID,100,6,4,16,2.46,0.000%,100.50251,11.88,12.66,121.0
Insert Ungenerated,100,8,6,22,2.64,0.000%,100.30090,11.85,14.78,121.0
Retrieve One,100,4,4,11,1.08,0.000%,100.60362,25.64,12.38,261.0
Retrieve Filtered,100,8,5,50,6.84,0.000%,100.00000,888.38,12.40,9097.0
Retrieve All,100,5,4,13,1.54,0.000%,100.50251,995.80,12.07,10146.0
TOTAL,600,8,4,80,9.07,0.000%,10.73672,34.72,1.37,3311.2
