Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Insert DB Generated,100,15,5,71,18.30,0.000%,112.10762,13.25,14.23,121.0
Insert BAL UUID,100,5,4,11,1.24,0.000%,100.00000,11.82,12.60,121.0
Insert Ungenerated,100,8,6,17,2.02,0.000%,100.30090,11.85,14.78,121.0
Retrieve One,100,4,4,13,1.30,0.000%,100.50251,25.62,12.37,261.0
Retrieve Filtered,100,7,5,28,3.37,0.000%,100.30090,891.05,12.44,9097.0
Retrieve All,100,150,5,647,229.28,0.000%,63.41154,628.29,7.62,10146.0
TOTAL,600,31,4,647,107.83,0.000%,10.62530,34.36,1.36,3311.2
